product_i,name_i,product_j,name_j,weighted_similarity
1604,"Fish preparations: salmon, herrings, sardines, tunas, mackerel, anchovies, fish prepared or preserved, fish minced or in forms, and others",1704,Sugar confectionery: not containing cocoa,0.9485
8422,Dish washing machines and Machinery,8438,"Machinery: industrial, used in the industrial preparation or manufacture of food or drink, and others",0.9461
7204,Ferrous waste and scrap and Ferrous products,8483,"Transmission shafts (including cam shafts and crank shafts) and cranks, Bearing housings, incorporating ball or roller bearings, and others",0.9451
8480,"Moulding boxes, Mould bases, Moulding patterns and Moulds",8707,"Vehicle bodies, including cabs",0.9447
7308,"Iron or steel: structures and parts (bridges, towers, doors, scaffolding)",8609,Containers: (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,0.9443
3926,"Plastics: office or school supplies, articles of apparel and clothing accessories (including gloves, mittens and mitts), and others",4819,"Paper and paperboard: cartons, folding cartons, sacks and bags of paper, sacks and bags, packing containers and box files",0.9439
8437,Machines and Machinery,8465,"Machine-tools: for working wood, cork, bone, hard rubber",0.9435
8480,"Moulding boxes, Mould bases, Moulding patterns and Moulds",8483,"Transmission shafts (including cam shafts and crank shafts) and cranks, Bearing housings, incorporating ball or roller bearings, and others",0.9428
4821,Paper and paperboard: labels or all kinds and labels of all kinds,4911,Printed matter: trade advertising material and pictures,0.9426
8207,"Tools, interchangeable: rock drilling or earth boring tools and (for machine or hand tools, whether or not power-operated)",8483,"Transmission shafts (including cam shafts and crank shafts) and cranks, Bearing housings, incorporating ball or roller bearings, and others",0.9423
8479,"Machinery and mechanical appliances, Machinery, Machines and Machines and mechanical appliances",8486,"Machines for semiconductor, flat panel display and mask manufacture",0.9409
8421,Centrifuges and Machinery,8422,Dish washing machines and Machinery,0.9409
8207,"Tools, interchangeable: rock drilling or earth boring tools and (for machine or hand tools, whether or not power-operated)",8707,"Vehicle bodies, including cabs",0.9407
0304,"Fish: swordfish (Xiphias gladius), toothfish (Dissostichus spp.), and others",1704,Sugar confectionery: not containing cocoa,0.9403
3920,"Plastics: sheets, film, foil and strip (not self-adhesive), laminated, supported or similarly combined with other materials",3926,"Plastics: office or school supplies, articles of apparel and clothing accessories (including gloves, mittens and mitts), and others",0.9388
8437,Machines and Machinery,8479,"Machinery and mechanical appliances, Machinery, Machines and Machines and mechanical appliances",0.9385
4016,"Rubber: vulcanised, mats, gaskets, erasers and other moulded articles",4819,"Paper and paperboard: cartons, folding cartons, sacks and bags of paper, sacks and bags, packing containers and box files",0.9382
8409,"Engines: parts of aircraft engines (spark-ignition reciprocating or rotary internal combustion piston engines), parts, and others",8480,"Moulding boxes, Mould bases, Moulding patterns and Moulds",0.9382
8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",8479,"Machinery and mechanical appliances, Machinery, Machines and Machines and mechanical appliances",0.9381
4901,"Printed matter: in single sheets, dictionaries and books",4911,Printed matter: trade advertising material and pictures,0.9377
8409,"Engines: parts of aircraft engines (spark-ignition reciprocating or rotary internal combustion piston engines), parts, and others",8466,Machine-tools: parts and accessories,0.9375
7304,"Iron or steel: seamless tubes, pipes and casing",7326,"Iron or steel: grinding balls and similar articles for mills, articles and wire articles",0.9371
7304,"Iron or steel: seamless tubes, pipes and casing",8483,"Transmission shafts (including cam shafts and crank shafts) and cranks, Bearing housings, incorporating ball or roller bearings, and others",0.9366
8466,Machine-tools: parts and accessories,8483,"Transmission shafts (including cam shafts and crank shafts) and cranks, Bearing housings, incorporating ball or roller bearings, and others",0.9358
